국가,차량 모델,연도,월,판매량,날짜,브랜드,카테고리
북미-미국,IONIQ 6,2023,5,971,2023-05-01,현대,기타
북미-미국,IONIQ 6,2023,6,1162,2023-06-01,현대,기타
북미-미국,IONIQ 6,2023,7,1745,2023-07-01,현대,기타
북미-미국,IONIQ 6,2023,8,1663,2023-08-01,현대,기타
북미-미국,IONIQ 6,2023,9,1665,2023-09-01,현대,기타
북미-미국,IONIQ 6,2024,10,837,2024-10-01,현대,기타
북미-미국,IONIQ 6,2024,11,1121,2024-11-01,현대,기타
북미-미국,IONIQ 6,2024,12,1209,2024-12-01,현대,기타
북미-미국,IONIQ 6,2024,1,760,2024-01-01,현대,기타
북미-미국,IONIQ 6,2024,2,902,2024-02-01,현대,기타
북미-미국,IONIQ 6,2024,3,1984,2024-03-01,현대,기타
북미-미국,IONIQ 6,2024,4,1253,2024-04-01,현대,기타
북미-미국,IONIQ 6,2024,5,1099,2024-05-01,현대,기타
북미-미국,IONIQ 6,2024,6,914,2024-06-01,현대,기타
북미-미국,IONIQ 6,2024,7,778,2024-07-01,현대,기타
북미-미국,IONIQ 6,2024,8,808,2024-08-01,현대,기타
북미-미국,IONIQ 6,2024,9,599,2024-09-01,현대,기타
북미-미국,IONIQ 6,2025,1,871,2025-01-01,현대,기타
북미-미국,Ioniq5 (NEa),2024,10,1006,2024-10-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,11,1006,2024-11-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,12,1006,2024-12-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,1,1006,2024-01-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,2,1006,2024-02-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,3,1006,2024-03-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,4,1006,2024-04-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,5,1006,2024-05-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,6,1006,2024-06-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,7,1006,2024-07-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,8,1006,2024-08-01,현대,SUV
북미-미국,Ioniq5 (NEa),2024,9,1006,2024-09-01,현대,SUV
북미-미국,Ioniq5 (NEa),2025,1,1623,2025-01-01,현대,SUV
북미-미국,Kona,2023,10,7927,2023-10-01,현대,SUV
북미-미국,Kona,2023,11,6991,2023-11-01,현대,SUV
북미-미국,Kona,2023,12,7680,2023-12-01,현대,SUV
북미-미국,Kona,2023,1,5826,2023-01-01,현대,SUV
북미-미국,Kona,2023,2,6080,2023-02-01,현대,SUV
북미-미국,Kona,2023,3,7314,2023-03-01,현대,SUV
북미-미국,Kona,2023,4,6831,2023-04-01,현대,SUV
