Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China,Korea
K5,US Plant,23-03,5774.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,US Plant,23-03,8311.0,0.0,4.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,US Plant,23-03,5009.0,817.0,238.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Telluride,US Plant,23-03,10585.0,496.0,0.0,0.0,0.0,6.0,86.0,0.0,4.0,0.0,0.0,0.0
Pegas,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,1468.0,2052.0,236.0,142.0,0.0,102.0,0.0
K3,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689.0,0.0
K3,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,0.0
K5,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0
KX1,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,758.0,0.0
KX3,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,0.0
Zhipao,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.0,0.0
Sportage,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,0.0
KX7,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0
Sonet,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,China Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonet,India Plants,23-03,0.0,0.0,0.0,0.0,0.0,669.0,633.0,348.0,180.0,7590.0,0.0,0.0
Seltos,India Plants,23-03,0.0,0.0,1937.0,0.0,0.0,1492.0,399.0,733.0,164.0,7641.0,0.0,0.0
Carens,India Plants,23-03,0.0,0.0,0.0,0.0,0.0,313.0,100.0,37.0,74.0,5484.0,0.0,0.0
Carnival,India Plants,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0
Morning,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,101.0,0.0,0.0,0.0
Pegas,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0
K3,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,0.0,0.0,0.0
K5,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0
